currentDirectory,currLabel,Depth,parentDirectory,PLabel,childDirectory,CLabel,NumOfFilesInside,NumofSubDir,SubDirLabels,FilePathsInsideCurr
/media/anirban/Work/Mock_Dvds/,Mock_Dvds,Root,/media/anirban/Work,Work,,,2,9,"02_DOE_I,06_DOE_II,10_DOE_IV_R1_REWORK,10_DOE_IV_R2,10_DOE_IV_R3,10_DOE_IV_R4,10_DOE_IV_R5,10_DOE_IV_R6,DOE_III","/media/anirban/Work/Mock_Dvds/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/README.txt"
/media/anirban/Work/Mock_Dvds/,Mock_Dvds,,/media/anirban/Work,Work,/media/anirban/Work/Mock_Dvds/02_DOE_I,02_DOE_I,2,,,"/media/anirban/Work/Mock_Dvds/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/README.txt"
/media/anirban/Work/Mock_Dvds/,Mock_Dvds,,/media/anirban/Work,Work,/media/anirban/Work/Mock_Dvds/06_DOE_II,06_DOE_II,2,,,"/media/anirban/Work/Mock_Dvds/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/README.txt"
/media/anirban/Work/Mock_Dvds/,Mock_Dvds,,/media/anirban/Work,Work,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK,10_DOE_IV_R1_REWORK,2,,,"/media/anirban/Work/Mock_Dvds/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/README.txt"
/media/anirban/Work/Mock_Dvds/,Mock_Dvds,,/media/anirban/Work,Work,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R2,10_DOE_IV_R2,2,,,"/media/anirban/Work/Mock_Dvds/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/README.txt"
/media/anirban/Work/Mock_Dvds/,Mock_Dvds,,/media/anirban/Work,Work,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R3,10_DOE_IV_R3,2,,,"/media/anirban/Work/Mock_Dvds/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/README.txt"
/media/anirban/Work/Mock_Dvds/,Mock_Dvds,,/media/anirban/Work,Work,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R4,10_DOE_IV_R4,2,,,"/media/anirban/Work/Mock_Dvds/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/README.txt"
/media/anirban/Work/Mock_Dvds/,Mock_Dvds,,/media/anirban/Work,Work,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R5,10_DOE_IV_R5,2,,,"/media/anirban/Work/Mock_Dvds/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/README.txt"
/media/anirban/Work/Mock_Dvds/,Mock_Dvds,,/media/anirban/Work,Work,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R6,10_DOE_IV_R6,2,,,"/media/anirban/Work/Mock_Dvds/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/README.txt"
/media/anirban/Work/Mock_Dvds/,Mock_Dvds,,/media/anirban/Work,Work,/media/anirban/Work/Mock_Dvds/DOE_III,DOE_III,2,,,"/media/anirban/Work/Mock_Dvds/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/README.txt"
/media/anirban/Work/Mock_Dvds/02_DOE_I,02_DOE_I,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,,,2,3,"DATA,IMAGES,PHASE_TWO","/media/anirban/Work/Mock_Dvds/02_DOE_I/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/02_DOE_I/DOE_I_SUMMARY.xlsx"
/media/anirban/Work/Mock_Dvds/02_DOE_I,02_DOE_I,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA,DATA,2,,,"/media/anirban/Work/Mock_Dvds/02_DOE_I/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/02_DOE_I/DOE_I_SUMMARY.xlsx"
/media/anirban/Work/Mock_Dvds/02_DOE_I,02_DOE_I,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES,IMAGES,2,,,"/media/anirban/Work/Mock_Dvds/02_DOE_I/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/02_DOE_I/DOE_I_SUMMARY.xlsx"
/media/anirban/Work/Mock_Dvds/02_DOE_I,02_DOE_I,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO,PHASE_TWO,2,,,"/media/anirban/Work/Mock_Dvds/02_DOE_I/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/02_DOE_I/DOE_I_SUMMARY.xlsx"
/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA,DATA,Result,/media/anirban/Work/Mock_Dvds/02_DOE_I,02_DOE_I,,,26,0,,"/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-001-01p.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-001-01test.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-001-02p.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-001-02test.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-001-03p.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-001-03test.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-001-04p.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-001-04test.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-001-05p.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-001-05test.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-001-06p.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-001-06test.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-002-01p.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-002-01test.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-002-02p.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-002-02test.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-002-03p.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-002-03test.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-002-04p.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-002-04test.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-002-05p.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-002-05test.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-002-06p.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/02-002-06test.csv,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/calculated.xls,/media/anirban/Work/Mock_Dvds/02_DOE_I/DATA/measured.xls"
/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES,IMAGES,Result,/media/anirban/Work/Mock_Dvds/02_DOE_I,02_DOE_I,,,36,0,,"/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-06_pd.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-01.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-01_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-01_pd.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-02.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-02_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-02_pd.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-03.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-03_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-03_pd.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-04.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-04_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-04_pd.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-05.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-05_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-05_pd.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-06.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-001-06_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-01.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-01_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-01_pd.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-02.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-02_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-02_pd.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-03.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-03_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-03_pd.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-04.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-04_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-04_pd.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-05.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-05_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-05_pd.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-06.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-06_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/IMAGES/02-002-06_pd.png"
/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO,PHASE_TWO,Result,/media/anirban/Work/Mock_Dvds/02_DOE_I,02_DOE_I,,,1,1,IMAGES,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/DOE_I_SUMMARY_2.xlsx
/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO,PHASE_TWO,Result,/media/anirban/Work/Mock_Dvds/02_DOE_I,02_DOE_I,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES,IMAGES,1,,,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/DOE_I_SUMMARY_2.xlsx
/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES,IMAGES,Result,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO,PHASE_TWO,,,40,0,,"/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-05_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/01-01-01_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/01-01-01_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/01-01-01_truncated.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-01.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-01_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-01_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-01_truncated.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-02_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-02_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-02_truncated.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-03_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-03_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-03_truncated.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-04_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-04_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-04_truncated.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-05_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-05_truncated.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-06_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-06_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-001-06_truncated.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-01_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-01_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-01_truncated.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-02_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-02_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-02_truncated.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-03_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-03_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-03_truncated.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-04_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-04_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-04_truncated.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-05_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-05_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-05_truncated.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-06_modes.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-06_regions.png,/media/anirban/Work/Mock_Dvds/02_DOE_I/PHASE_TWO/IMAGES/02-002-06_truncated.png"
/media/anirban/Work/Mock_Dvds/06_DOE_II,06_DOE_II,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,,,2,3,"DATA,IMAGES,PHASE_TWO","/media/anirban/Work/Mock_Dvds/06_DOE_II/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/06_DOE_II/DOE_II_SUMMARY.xlsx"
/media/anirban/Work/Mock_Dvds/06_DOE_II,06_DOE_II,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,/media/anirban/Work/Mock_Dvds/06_DOE_II/DATA,DATA,2,,,"/media/anirban/Work/Mock_Dvds/06_DOE_II/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/06_DOE_II/DOE_II_SUMMARY.xlsx"
/media/anirban/Work/Mock_Dvds/06_DOE_II,06_DOE_II,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,/media/anirban/Work/Mock_Dvds/06_DOE_II/IMAGES,IMAGES,2,,,"/media/anirban/Work/Mock_Dvds/06_DOE_II/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/06_DOE_II/DOE_II_SUMMARY.xlsx"
/media/anirban/Work/Mock_Dvds/06_DOE_II,06_DOE_II,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,/media/anirban/Work/Mock_Dvds/06_DOE_II/PHASE_TWO,PHASE_TWO,2,,,"/media/anirban/Work/Mock_Dvds/06_DOE_II/DISTRIBUTION_STATEMENT_C.txt,/media/anirban/Work/Mock_Dvds/06_DOE_II/DOE_II_SUMMARY.xlsx"
/media/anirban/Work/Mock_Dvds/06_DOE_II/DATA,DATA,Result,/media/anirban/Work/Mock_Dvds/06_DOE_II,06_DOE_II,,,4,0,,"/media/anirban/Work/Mock_Dvds/06_DOE_II/DATA/01-01-01p.csv,/media/anirban/Work/Mock_Dvds/06_DOE_II/DATA/01-01-01test.csv,/media/anirban/Work/Mock_Dvds/06_DOE_II/DATA/calculated.xls,/media/anirban/Work/Mock_Dvds/06_DOE_II/DATA/measured.xls"
/media/anirban/Work/Mock_Dvds/06_DOE_II/IMAGES,IMAGES,Result,/media/anirban/Work/Mock_Dvds/06_DOE_II,06_DOE_II,,,3,0,,"/media/anirban/Work/Mock_Dvds/06_DOE_II/IMAGES/01-01-01.png,/media/anirban/Work/Mock_Dvds/06_DOE_II/IMAGES/01-01-01_modes.png,/media/anirban/Work/Mock_Dvds/06_DOE_II/IMAGES/01-01-01_pd.png"
/media/anirban/Work/Mock_Dvds/06_DOE_II/PHASE_TWO,PHASE_TWO,Result,/media/anirban/Work/Mock_Dvds/06_DOE_II,06_DOE_II,,,1,1,IMAGES,/media/anirban/Work/Mock_Dvds/06_DOE_II/PHASE_TWO/DOE_II_SUMMARY_2.xlsx
/media/anirban/Work/Mock_Dvds/06_DOE_II/PHASE_TWO,PHASE_TWO,Result,/media/anirban/Work/Mock_Dvds/06_DOE_II,06_DOE_II,/media/anirban/Work/Mock_Dvds/06_DOE_II/PHASE_TWO/IMAGES,IMAGES,1,,,/media/anirban/Work/Mock_Dvds/06_DOE_II/PHASE_TWO/DOE_II_SUMMARY_2.xlsx
/media/anirban/Work/Mock_Dvds/06_DOE_II/PHASE_TWO/IMAGES,IMAGES,Result,/media/anirban/Work/Mock_Dvds/06_DOE_II/PHASE_TWO,PHASE_TWO,,,3,0,,"/media/anirban/Work/Mock_Dvds/06_DOE_II/PHASE_TWO/IMAGES/01-01-01_modes.png,/media/anirban/Work/Mock_Dvds/06_DOE_II/PHASE_TWO/IMAGES/01-01-01_regions.png,/media/anirban/Work/Mock_Dvds/06_DOE_II/PHASE_TWO/IMAGES/01-01-01_truncated.png"
/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK,10_DOE_IV_R1_REWORK,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,,,1,3,"DATA,IMAGES,PLOTS",/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK/DOE_IV_REWORK_SUMMARY.xlsx
/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK,10_DOE_IV_R1_REWORK,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK/DATA,DATA,1,,,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK/DOE_IV_REWORK_SUMMARY.xlsx
/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK,10_DOE_IV_R1_REWORK,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK/IMAGES,IMAGES,1,,,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK/DOE_IV_REWORK_SUMMARY.xlsx
/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK,10_DOE_IV_R1_REWORK,Experiment,/media/anirban/Work/Mock_Dvds,Mock_Dvds,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK/PLOTS,PLOTS,1,,,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK/DOE_IV_REWORK_SUMMARY.xlsx
/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK/DATA,DATA,Result,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK,10_DOE_IV_R1_REWORK,,,4,0,,"/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK/DATA/01-01-1-PRE.csv,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK/DATA/01-01-1-TEST.csv,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK/DATA/calculated.xls,/media/anirban/Work/Mock_Dvds/10_DOE_IV_R1_REWORK/DATA/measured.xls"
